,phi,b,mark,ssn_delay,lu_mark,lu_delay,lu_mark_2,lu_delay_2,phi_c,b_c
2011-06-01,0.6626775190120836,0.4215709327890724,-12.0,32.675839864225026,-12.0,32.675839864225026,-12.0,32.675839864225026,0.5899388593904136,0.40340145792580695
2011-07-01,0.6653441332466556,0.4065340333059049,-12.0,35.373683422354205,-12.0,35.373683422354205,-12.0,35.373683422354205,0.60280607255071,0.399798975740623
2011-08-01,0.6687469003941563,0.3933196545167456,-12.0,38.05991613837285,-12.0,38.05991613837285,-12.0,38.05991613837285,0.6156179084523967,0.39621199773533566
2011-09-01,0.6700682726859829,0.390483149194208,-12.0,40.6878450556594,-12.0,40.6878450556594,-12.0,40.6878450556594,0.6281516676642471,0.3927028739094087
2011-10-01,0.6998585178479119,0.3948145761142932,-12.0,43.24970299006772,-12.0,43.24970299006772,-12.0,43.24970299006772,0.6403703050381974,0.38928197593262687
2011-11-01,0.6681155807612366,0.38585349075615416,-12.0,45.73032496381112,-12.0,45.73032496381112,-12.0,45.73032496381112,0.6522014920653671,0.3859695538903408
2011-12-01,0.6518349145343121,0.3733220908385837,-12.0,48.113168272352105,-12.0,48.113168272352105,-12.0,48.113168272352105,0.6635663292466024,0.3827876975728246
2012-01-01,0.661647615368001,0.3881459799769558,-11.0,52.897688813459396,-12.0,50.48223930514805,-12.0,50.48223930514805,0.6748654803330381,0.3796242316389433
2012-02-01,0.678687566878017,0.3979883773339055,-11.0,55.33963959467048,-12.0,52.897688813459396,-12.0,52.897688813459396,0.6863858309507469,0.3763988356382437
2012-03-01,0.7592116804392575,0.4157564423261335,-11.0,57.758768032747724,-12.0,55.33963959467048,-12.0,55.33963959467048,0.698032577899478,0.37313805198016187
2012-04-01,0.7209823946238965,0.3661799877918502,-11.0,60.15388109619311,-12.0,57.758768032747724,-12.0,57.758768032747724,0.709570474965852,0.3699077434340694
2012-05-01,0.6955311400384219,0.36297584605077976,-11.0,62.47615933709569,-12.0,60.15388109619311,-12.0,60.15388109619311,0.720993832053219,0.3667095030777803
2012-06-01,0.7349981517253504,0.3820183075839901,-11.0,64.75226875655366,-12.0,62.47615933709569,-12.0,62.47615933709569,0.7320698075497125,0.3636085204553138
2012-07-01,0.777867567310439,0.3961425762031029,-11.0,67.0437827584506,-12.0,64.75226875655366,-12.0,64.75226875655366,0.7429255834482353,0.3605691879445685
2012-08-01,0.8307183239827798,0.38137570487585,-11.0,69.33859631608058,-12.0,67.0437827584506,-12.0,67.0437827584506,0.7538548306365558,0.3575092853997901
2012-09-01,0.8130464235425411,0.34664787994123397,-11.0,71.6346628063717,-12.0,69.33859631608058,-12.0,69.33859631608058,0.7647998148704226,0.35444497689503257
2012-10-01,0.8242566856158355,0.3415988564565735,-11.0,73.98339739430165,-12.0,71.6346628063717,-12.0,71.6346628063717,0.7757507748961687,0.35137899532529043
2012-11-01,0.8246646109441685,0.33814719721570885,-10.0,78.82262267259262,-12.0,73.98339739430165,-12.0,73.98339739430165,0.7869529324522624,0.3482426850358196
2012-12-01,0.8129454182264408,0.32183116627710057,-10.0,81.18424599411219,-12.0,76.40205660660143,-12.0,76.40205660660143,0.7984885915726736,0.34501300305589666
2013-01-01,0.780407724854227,0.3155813033802344,-10.0,83.46354515050422,-12.0,78.82262267259262,-12.0,78.82262267259262,0.8100333453245505,0.3417807748177104
2013-02-01,0.7673228767049299,0.3257602944353193,-9.0,87.78869864723472,-12.0,81.18424599411219,-12.0,81.18424599411219,0.8212969749708119,0.33862725395537063
2013-03-01,0.7798709118016913,0.3440565230448959,-8.0,91.8449757899494,-12.0,83.46354515050422,-12.0,83.46354515050422,0.8321679641402941,0.3355836621277922
2013-04-01,0.8010407308894181,0.34759913280979776,-7.0,95.46005091599152,-12.0,85.66192282733748,-12.0,85.66192282733748,0.8426530028629495,0.33264812630206414
2013-05-01,0.8552395782664185,0.3704514801348629,-6.0,98.50058902810663,-12.0,87.78869864723472,-12.0,87.78869864723472,0.8527965405548676,0.3298082018075642
2013-06-01,0.9030911851002428,0.3529204609481499,-6.0,99.72933160285831,-12.0,89.85847351869688,-12.0,89.85847351869688,0.8626682154281864,0.3270443917714647
2013-07-01,0.9044237710965662,0.3302098981433241,-5.0,101.70494683772087,-12.0,91.8449757899494,-12.0,91.8449757899494,0.872142726316929,0.3243917772336606
2013-08-01,0.904223543329942,0.3180895890229297,-4.0,103.08177507113577,-12.0,93.71241451605137,-12.0,93.71241451605137,0.881049370321598,0.32189815052857096
2013-09-01,0.9323856918324964,0.2937760745832857,-3.0,103.60505665651993,-12.0,95.46005091599152,-12.0,95.46005091599152,0.8893846238676993,0.31956449816463284
2013-10-01,0.9206491190190592,0.2733204040803368,-2.0,103.45357160685184,-12.0,97.07182149453699,-12.0,97.07182149453699,0.8970718730179132,0.3174122700347556
2013-11-01,0.9279222265396216,0.27695384514267885,-1.0,102.81567413767596,-12.0,98.50058902810663,-12.0,98.50058902810663,0.903886299434729,0.31550440937658486
2013-12-01,0.9388418801111821,0.27693024709131153,-1.0,102.26675984625679,-12.0,99.72933160285831,-12.0,99.72933160285831,0.9097467180571583,0.31386364587775933
2014-01-01,0.9350190835961556,0.27696885667399623,-1.0,101.56717416263471,-12.0,100.78850396845512,-12.0,100.78850396845512,0.9147983811013565,0.31244931272763865
2014-02-01,0.960448113066734,0.314345538667017,0.0,99.85921229970852,-11.0,102.47818100135088,-11.0,102.47818100135088,0.9228572007051898,0.3101930546168301
2014-03-01,0.9622751385705264,0.2921897112438176,0.0,98.9572006189817,-10.0,103.45355163979748,-11.0,103.08177507113577,0.9275091761236198,0.30889062351834495
2014-04-01,0.9485382075050784,0.2953380213582381,0.0,98.04145659661856,-9.0,103.58707632406843,-10.0,103.60505665651993,0.9281460145976295,0.308712325449534
2014-05-01,0.9092502089286888,0.2821452910978433,0.0,97.1172864773154,-8.0,103.20678879848565,-10.0,103.58707632406843,0.9263322546265849,0.3092201306675318
2014-06-01,0.9218542449311601,0.3004159596052776,0.0,96.1078570358937,-7.0,102.26675984625679,-9.0,103.20678879848565,0.9218488393934323,0.3104753693353773
2014-07-01,0.9158985334534993,0.2973985235805001,0.0,94.96978485499216,-6.0,100.74244496580948,-9.0,102.81567413767596,0.914578705277973,0.31251081619621385
2014-08-01,0.8592272924776555,0.29981024193681755,0.0,93.73174761643574,-5.0,98.9572006189817,-8.0,101.56717416263471,0.9060640827437529,0.31489468717207847
2014-09-01,0.8417677311518417,0.3197403329064108,0.0,92.4184295911774,-4.0,97.1172864773154,-8.0,100.74244496580948,0.8972887156969398,0.31735155977228857
2014-10-01,0.8380944451229342,0.3443166538849588,0.0,91.0681475565345,-3.0,94.96978485499216,-7.0,98.9572006189817,0.8870463274556895,0.3202191598278077
2014-11-01,0.8344211590940261,0.3688929748635068,0.0,89.69613637498402,-2.0,92.4184295911774,-7.0,98.04145659661856,0.8748777819786071,0.3236260333873486
2014-12-01,0.8307478730651184,0.3934692958420548,0.0,88.30360405331474,-1.0,89.69613637498402,-6.0,96.1078570358937,0.8618939575488913,0.32726116366932256
2015-01-01,0.8434167433583292,0.3689115522438076,0.0,86.8512304697276,0.0,86.8512304697276,-6.0,94.96978485499216,0.8483253387927672,0.33106002102386756
2015-02-01,0.8506746037483349,0.3685669770294158,0.0,85.25427544551748,0.0,85.25427544551748,-5.0,92.4184295911774,0.8407087515959295,0.33319246566022237
2015-03-01,0.8939270033759847,0.3710868016421621,0.0,83.46076972994813,0.0,83.46076972994813,-5.0,91.0681475565345,0.8321547269280041,0.3355873682000289
2015-04-01,0.9196036966954112,0.3536718862620266,0.0,81.4732790895048,0.0,81.4732790895048,-4.0,88.30360405331474,0.8226755020679783,0.3382413025261475
2015-05-01,0.8724581701842251,0.3233277775816384,0.0,79.34921878900056,0.0,79.34921878900056,-4.0,86.8512304697276,0.8125449158931211,0.3410776009355813
2015-06-01,0.8450285163238056,0.3446256561198115,0.0,77.17133230170451,0.0,77.17133230170451,-3.0,83.46076972994813,0.8021576087468165,0.343985774483375
2015-07-01,0.8114381598286413,0.34390095580244145,0.0,74.91800029950811,0.0,74.91800029950811,-3.0,81.4732790895048,0.7914104684592289,0.34699469187250875
2015-08-01,0.7872970583319011,0.3398695690448581,0.0,72.56046024060522,0.0,72.56046024060522,-2.0,77.17133230170451,0.7801663137044303,0.3501427602760543
2015-09-01,0.7793713993802255,0.35513825409302674,0.0,70.14095242849513,0.0,70.14095242849513,-2.0,74.91800029950811,0.7686266072349375,0.35337357540756037
2015-10-01,0.7654716918762376,0.3629901131193793,0.0,67.63462287226284,0.0,67.63462287226284,-1.0,70.14095242849513,0.7566728093385335,0.35672032527721853
2015-11-01,0.7398003522299995,0.3712072118508412,0.0,65.01132631158787,0.0,65.01132631158787,-1.0,67.63462287226284,0.744161143891081,0.36022326342862093
2015-12-01,0.7056828723239728,0.3752910460532209,0.0,62.28609793840353,0.0,62.28609793840353,0.0,62.28609793840353,0.7311633203951304,0.3638623130819531
2016-01-01,0.6761747071770272,0.3675539558544547,0.0,59.429381520493,0.0,59.429381520493,0.0,59.429381520493,0.7175383720629659,0.3676769412402966
2016-02-01,0.6540208590199483,0.3592555969917581,0.0,56.491124644338576,0.0,56.491124644338576,0.0,56.491124644338576,0.7035245210999386,0.3716004519345864
2016-03-01,0.6442013718503424,0.3655671275810993,0.0,53.558373683423966,0.0,53.558373683423966,0.0,53.558373683423966,0.6895369302900696,0.3755166104747808
2016-04-01,0.6392137667112446,0.3693291261759404,0.0,50.6727599460905,0.0,50.6727599460905,0.0,50.6727599460905,0.6757741578177114,0.37936982577732953
2016-05-01,0.6238471683100076,0.3716976669607971,0.0,47.84488094643985,0.0,47.84488094643985,0.0,47.84488094643985,0.6622867479305113,0.38314594677863834
2016-06-01,0.6098347061682214,0.3727493219200246,0.0,45.11159586682113,0.0,45.11159586682113,0.0,45.11159586682113,0.649250498426222,0.386795754706413
2016-07-01,0.6121786961492146,0.3774162054860585,0.0,42.52256277142844,0.0,42.52256277142844,0.0,42.52256277142844,0.6369022506499199,0.39025294019624607
2016-08-01,0.6034926223246665,0.3751987539267383,0.0,40.0304447661371,0.0,40.0304447661371,0.0,40.0304447661371,0.6250162339466635,0.3935807131096851
2016-09-01,0.586064144978472,0.37964340721820905,0.0,37.587795138023424,0.0,37.587795138023424,0.0,37.587795138023424,0.6133661538869241,0.3968424299514236
2016-10-01,0.5645192392730515,0.3873891701691156,0.0,35.22320171716775,0.0,35.22320171716775,0.0,35.22320171716775,0.6020883585188772,0.3999999168443044
2016-11-01,0.5419272314083365,0.392297769452576,0.0,32.97076324065393,0.0,32.97076324065393,0.0,32.97076324065393,0.591345479851793,0.4030076410914772
2016-12-01,0.5323178499899011,0.3968343956209184,0.0,30.838501472571203,0.0,30.838501472571203,0.0,30.838501472571203,0.5811757772384596,0.4058548910776823
2017-01-01,0.5242276667183096,0.3980304007634913,0.0,28.90698846902699,0.0,28.90698846902699,0.0,28.90698846902699,0.5719635345701998,0.40843407739289783
2017-02-01,0.5152243118493345,0.40154917462877865,0.0,27.159501821994535,0.0,27.159501821994535,0.0,27.159501821994535,0.5636289952621717,0.41076752978890957
2017-03-01,0.5126482306325114,0.40976240612953657,0.0,25.519787350871855,0.0,25.519787350871855,0.0,25.519787350871855,0.5558084692874969,0.41295707193386033
